Freq.	V(out)
6.26000000000000e+07	(-8.77479937399894e+01dB,1.41997793529623e+02°)
6.28000000000000e+07	(-8.79092282250622e+01dB,-9.32786926940063e+01°)
6.30000000000000e+07	(-8.67760048089049e+01dB,7.17393380492626e+01°)
6.32000000000000e+07	(-8.52898787387728e+01dB,-1.22334001472016e+02°)
6.34000000000000e+07	(-8.28736302435188e+01dB,4.08193210149471e+01°)
6.36000000000000e+07	(-8.16296110135031e+01dB,-1.43402017068254e+02°)
6.38000000000000e+07	(-8.25573054408707e+01dB,3.71565885174046e+01°)
6.40000000000000e+07	(-8.35147745993288e+01dB,-1.53376683114676e+02°)
6.42000000000000e+07	(-8.36777734811210e+01dB,1.63715140324281e+01°)
6.44000000000000e+07	(-9.00047631491910e+01dB,-1.55142352796593e+02°)
6.46000000000000e+07	(-9.29608756134004e+01dB,1.67946959818623e+02°)
6.48000000000000e+07	(-8.84489228147608e+01dB,3.45082051845049e+01°)
6.50000000000000e+07	(-8.36505562470103e+01dB,-1.11937658948733e+02°)
6.52000000000000e+07	(-8.12547247122953e+01dB,6.05759315769595e+01°)
6.54000000000000e+07	(-8.17988058444365e+01dB,-1.31725686051270e+02°)
6.56000000000000e+07	(-8.22819494882487e+01dB,6.15645425541953e+01°)
6.58000000000000e+07	(-8.25030449570960e+01dB,-9.56949617335022e+01°)
6.60000000000000e+07	(-9.07454533294323e+01dB,9.79601777465793e+01°)
6.62000000000000e+07	(-9.32472630752191e+01dB,1.09763891357522e+02°)
6.64000000000000e+07	(-9.04724691192798e+01dB,-7.42489680984217e+01°)
6.66000000000000e+07	(-8.63075533189121e+01dB,8.21852169484486e+01°)
6.68000000000000e+07	(-7.91065957904900e+01dB,-9.04746185588485e+01°)
6.70000000000000e+07	(-7.56025553686605e+01dB,1.01029328873502e+02°)
6.72000000000000e+07	(-7.58448810577290e+01dB,-6.12757075689493e+01°)
6.74000000000000e+07	(-7.72875181283684e+01dB,1.43489470157229e+02°)
6.76000000000000e+07	(-7.89601853528012e+01dB,-3.32586702706611e+01°)
6.78000000000000e+07	(-8.13351894396702e+01dB,1.42924498816998e+02°)
6.80000000000000e+07	(-8.29114226898782e+01dB,1.16230419909826e+01°)
6.82000000000000e+07	(-8.12905940064550e+01dB,-1.18571491861973e+02°)
6.84000000000000e+07	(-8.20494524763327e+01dB,1.14850580224868e+02°)
6.86000000000000e+07	(-8.25566928438253e+01dB,-2.80537900366385e+01°)
6.88000000000000e+07	(-9.38164093224952e+01dB,1.69900813461809e+02°)
6.90000000000000e+07	(-8.86066959168454e+01dB,-1.61084039888751e+02°)
6.92000000000000e+07	(-8.18877305840911e+01dB,5.62628768153043e+01°)
6.94000000000000e+07	(-7.91986270661520e+01dB,-1.09257844639955e+02°)
6.96000000000000e+07	(-7.95074683588685e+01dB,6.65229007594615e+01°)
6.98000000000000e+07	(-7.94427053485413e+01dB,-1.03863586279558e+02°)
7.00000000000000e+07	(-7.76295085023134e+01dB,1.09008275254244e+02°)
7.02000000000000e+07	(-7.70572943231601e+01dB,-4.22366617470691e+01°)
7.04000000000000e+07	(-7.91075139363724e+01dB,1.76032890328736e+02°)
7.06000000000000e+07	(-7.90680341256029e+01dB,3.56178622551127e+01°)
